VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
77	lightcyan	SET	161	-0.067467	-0.0062503	0.069259	0.835	ASD_2017
78	lightgreen	SET	108	0.14334	0.010891	0.087561	0.050828	ASD_2017
79	lightyellow	SET	102	-0.057808	-0.0042694	0.086278	0.74857	ASD_2017
80	magenta	SET	214	0.036286	0.00387	0.06375	0.28462	ASD_2017
81	midnightblue	SET	166	-0.021566	-0.0020284	0.071005	0.61933	ASD_2017
82	orange	SET	79	-0.081797	-0.00532	0.098142	0.7977	ASD_2017
83	paleturquoise	SET	44	0.14242	0.0069195	0.1378	0.15069	ASD_2017
84	pink	SET	213	-0.015244	-0.001622	0.060047	0.6002	ASD_2017
85	purple	SET	205	0.058435	0.0061013	0.064139	0.18113	ASD_2017
86	red	SET	329	-0.076252	-0.010052	0.049991	0.9364	ASD_2017
87	royalblue	SET	104	-0.079461	-0.0059256	0.09417	0.8006	ASD_2017
88	saddlebrown	SET	48	-0.077154	-0.0039147	0.13642	0.71414	ASD_2017
89	salmon	SET	181	-0.0092552	-0.00090861	0.062702	0.55867	ASD_2017
90	skyblue	SET	55	0.095234	0.0051714	0.11191	0.1974	ASD_2017
91	steelblue	SET	51	0.27247	0.014249	0.13509	0.021861	ASD_2017
92	tan	SET	192	0.061594	0.0062261	0.066315	0.1765	ASD_2017
93	turquoise	SET	3307	-0.024105	-0.0092168	0.017503	0.91575	ASD_2017
94	violet	SET	47	0.049814	0.0025011	0.13766	0.35873	ASD_2017
95	white	SET	68	0.02273	0.0013719	0.1083	0.41688	ASD_2017
96	yellow	SET	491	0.050355	0.0080734	0.041196	0.1108	ASD_2017
97	black	SET	276	0.059872	0.0072174	0.055182	0.13897	BIP_2018
98	blue	SET	1946	0.032399	0.0098899	0.023187	0.081174	BIP_2018
99	brown	SET	697	-0.026522	-0.0050224	0.035551	0.77217	BIP_2018
100	cyan	SET	183	-0.12336	-0.012139	0.069812	0.96138	BIP_2018
101	darkgreen	SET	85	0.032641	0.0021949	0.10269	0.37529	BIP_2018
102	darkgrey	SET	85	-0.04294	-0.0028874	0.11851	0.64145	BIP_2018
103	darkorange	SET	67	-0.029764	-0.0017778	0.1202	0.59778	BIP_2018
104	darkred	SET	96	-0.15216	-0.01087	0.089602	0.95525	BIP_2018
105	darkturquoise	SET	86	0.0075138	0.00050821	0.10665	0.47192	BIP_2018
106	green	SET	459	0.026101	0.0040374	0.04514	0.28156	BIP_2018
107	greenyellow	SET	196	-0.10519	-0.010709	0.065793	0.94505	BIP_2018
108	grey60	SET	112	-0.072674	-0.0056055	0.089017	0.79286	BIP_2018
109	lightcyan	SET	162	-0.033605	-0.0031132	0.071036	0.68192	BIP_2018
110	lightgreen	SET	108	-0.024695	-0.0018707	0.089049	0.60923	BIP_2018
111	lightyellow	SET	102	-0.0029218	-0.00021513	0.092677	0.51258	BIP_2018
112	magenta	SET	214	0.096902	0.010303	0.064716	0.067162	BIP_2018
113	midnightblue	SET	166	0.025617	0.0024021	0.073902	0.36443	BIP_2018
114	orange	SET	79	0.081982	0.0053155	0.1036	0.21438	BIP_2018
115	paleturquoise	SET	44	0.23978	0.011613	0.13071	0.033302	BIP_2018
116	pink	SET	213	-0.085357	-0.0090546	0.064104	0.90848	BIP_2018
117	purple	SET	205	-0.051666	-0.005378	0.064947	0.78684	BIP_2018
118	red	SET	331	0.0032441	0.00042762	0.050903	0.47459	BIP_2018
119	royalblue	SET	104	0.13299	0.0098871	0.096907	0.084981	BIP_2018
120	saddlebrown	SET	48	0.0060692	0.00030699	0.13486	0.48205	BIP_2018
121	salmon	SET	182	0.011651	0.0011434	0.069184	0.43314	BIP_2018
122	skyblue	SET	55	-0.16601	-0.0089869	0.12327	0.91096	BIP_2018
123	steelblue	SET	51	0.043203	0.0022523	0.14326	0.38149	BIP_2018
124	tan	SET	192	0.13519	0.013624	0.069573	0.026007	BIP_2018
125	turquoise	SET	3333	0.036051	0.013793	0.018111	0.023274	BIP_2018
126	violet	SET	47	0.074255	0.0037167	0.14459	0.30378	BIP_2018
127	white	SET	68	0.12326	0.0074168	0.11194	0.13542	BIP_2018
