VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
342	red	SET	332	0.026059	0.0034371	0.058257	0.32733	zBMI
343	royalblue	SET	104	-0.085445	-0.0063466	0.10343	0.79563	zBMI
344	saddlebrown	SET	48	-0.07961	-0.0040232	0.15516	0.69605	zBMI
345	salmon	SET	182	-0.12529	-0.012286	0.07807	0.94573	zBMI
346	skyblue	SET	55	-0.040928	-0.0022137	0.14622	0.61023	zBMI
347	steelblue	SET	51	-0.056733	-0.0029551	0.14793	0.64933	zBMI
348	tan	SET	192	-0.05014	-0.0050483	0.074512	0.74949	zBMI
349	turquoise	SET	3335	0.046604	0.017823	0.020483	0.01145	zBMI
350	violet	SET	47	-0.15415	-0.0077088	0.1541	0.84142	zBMI
351	white	SET	68	-0.038435	-0.0023107	0.13124	0.61518	zBMI
352	yellow	SET	498	0.011099	0.0017848	0.046465	0.4056	zBMI
353	black	SET	268	-0.072383	-0.0086867	0.053097	0.91358	zCHD
354	blue	SET	1923	0.028707	0.0087957	0.021335	0.089241	zCHD
355	brown	SET	692	-0.014904	-0.0028403	0.033231	0.6731	zCHD
356	cyan	SET	180	-0.0085456	-0.00084253	0.065715	0.55173	zCHD
357	darkgreen	SET	82	-0.035466	-0.0023665	0.099343	0.63945	zCHD
358	darkgrey	SET	82	0.094452	0.0063022	0.10471	0.18352	zCHD
359	darkorange	SET	67	-0.11435	-0.0068997	0.10607	0.85949	zCHD
360	darkred	SET	96	0.00097128	7.0095e-05	0.086454	0.49552	zCHD
361	darkturquoise	SET	86	-0.022383	-0.0015293	0.088423	0.59992	zCHD
362	green	SET	454	-0.033472	-0.0052014	0.041651	0.78919	zCHD
363	greenyellow	SET	195	0.070757	0.007258	0.062058	0.12711	zCHD
364	grey60	SET	112	0.035729	0.0027839	0.079999	0.32758	zCHD
365	lightcyan	SET	160	-0.013304	-0.0012374	0.06744	0.57819	zCHD
366	lightgreen	SET	108	-0.018621	-0.0014249	0.081829	0.59	zCHD
367	lightyellow	SET	102	0.14915	0.011093	0.08378	0.037531	zCHD
368	magenta	SET	213	-0.0018025	-0.00019314	0.06114	0.51176	zCHD
369	midnightblue	SET	166	0.11136	0.010547	0.067267	0.048932	zCHD
370	orange	SET	79	-0.083592	-0.0054751	0.10071	0.79674	zCHD
371	paleturquoise	SET	44	-0.07807	-0.0038198	0.12689	0.7308	zCHD
372	pink	SET	208	0.085158	0.0090183	0.059097	0.074807	zCHD
373	purple	SET	204	-0.0041865	-0.00043913	0.060743	0.52747	zCHD
374	red	SET	324	0.034836	0.0045897	0.04722	0.23034	zCHD
375	royalblue	SET	103	0.050355	0.0037635	0.087327	0.2821	zCHD
376	saddlebrown	SET	48	0.2705	0.013822	0.12521	0.015383	zCHD
377	salmon	SET	179	-0.040376	-0.0039698	0.066736	0.72741	zCHD
378	skyblue	SET	55	-0.03368	-0.0018418	0.11502	0.61517	zCHD
379	steelblue	SET	48	-0.13875	-0.0070897	0.12989	0.85728	zCHD
380	tan	SET	190	0.053055	0.0053727	0.064319	0.20473	zCHD
381	turquoise	SET	3277	-0.0065631	-0.0025145	0.01703	0.65002	zCHD
382	violet	SET	45	-0.081171	-0.0040163	0.12618	0.73999	zCHD
383	white	SET	67	-0.04259	-0.0025698	0.10142	0.66273	zCHD
384	yellow	SET	481	0.0039171	0.00062606	0.039051	0.46005	zCHD
385	black	SET	270	0.098792	0.011885	0.052625	0.030251	zDIAB
386	blue	SET	1923	0.015085	0.004617	0.021302	0.23943	zDIAB
387	brown	SET	692	0.011255	0.0021423	0.032925	0.36624	zDIAB
388	cyan	SET	180	0.028903	0.0028461	0.064472	0.32697	zDIAB
389	darkgreen	SET	84	-0.11875	-0.0080092	0.099744	0.88307	zDIAB
390	darkgrey	SET	82	0.085196	0.0056777	0.10662	0.21213	zDIAB
391	darkorange	SET	67	-0.058846	-0.0035463	0.10788	0.70728	zDIAB
392	darkred	SET	96	0.10221	0.0073672	0.088262	0.12344	zDIAB
393	darkturquoise	SET	86	0.050359	0.0034366	0.088271	0.28417	zDIAB
394	green	SET	455	-0.020983	-0.0032602	0.041595	0.69303	zDIAB
395	greenyellow	SET	196	0.02123	0.0021805	0.061728	0.36546	zDIAB
396	grey60	SET	112	0.10764	0.0083763	0.078939	0.086368	zDIAB
397	lightcyan	SET	160	-0.028927	-0.0026871	0.068984	0.66251	zDIAB
398	lightgreen	SET	108	0.009114	0.00069656	0.083393	0.45649	zDIAB
399	lightyellow	SET	102	0.0071749	0.000533	0.085249	0.46646	zDIAB
400	magenta	SET	214	0.066332	0.0071154	0.060634	0.13699	zDIAB
401	midnightblue	SET	166	-0.094902	-0.0089779	0.06964	0.91351	zDIAB
402	orange	SET	79	-0.062927	-0.0041165	0.10042	0.73454	zDIAB
403	paleturquoise	SET	44	-0.084293	-0.0041192	0.12032	0.7582	zDIAB
404	pink	SET	210	-0.034351	-0.0036506	0.058989	0.71982	zDIAB
405	purple	SET	204	-0.10522	-0.011023	0.060409	0.95922	zDIAB
406	red	SET	324	0.067678	0.0089058	0.047565	0.077403	zDIAB
407	royalblue	SET	104	-0.024085	-0.0018066	0.086199	0.61004	zDIAB
408	saddlebrown	SET	48	-0.012565	-0.00064128	0.12421	0.54029	zDIAB
409	salmon	SET	179	0.076769	0.0075388	0.065968	0.12228	zDIAB
410	skyblue	SET	55	-0.31899	-0.017423	0.11602	0.99701	zDIAB
411	steelblue	SET	48	-0.055896	-0.0028526	0.14445	0.6506	zDIAB
412	tan	SET	190	-0.017385	-0.0017583	0.064757	0.60582	zDIAB
413	turquoise	SET	3284	-0.0022154	-0.00084865	0.016859	0.55227	zDIAB
414	violet	SET	45	-0.1795	-0.0088709	0.1247	0.92499	zDIAB
415	white	SET	67	-0.2826	-0.017031	0.10456	0.99656	zDIAB
416	yellow	SET	483	0.056274	0.0090016	0.039046	0.07477	zDIAB
417	black	SET	265	0.17341	0.0208	0.10723	0.052921	zHGT
418	blue	SET	1904	0.035175	0.010778	0.044215	0.21316	zHGT
419	brown	SET	683	0.088405	0.016823	0.068195	0.097438	zHGT
420	cyan	SET	180	-0.04156	-0.0041181	0.13066	0.62479	zHGT
421	darkgreen	SET	83	-0.40557	-0.027362	0.20012	0.97864	zHGT
422	darkgrey	SET	82	0.42403	0.028436	0.21495	0.024275	zHGT
423	darkorange	SET	67	0.24332	0.014756	0.23474	0.14998	zHGT
424	darkred	SET	96	0.056289	0.0040828	0.17536	0.37411	zHGT
425	darkturquoise	SET	85	0.1361	0.0092919	0.18227	0.22762	zHGT
426	green	SET	448	0.04884	0.0075778	0.08565	0.28426	zHGT
427	greenyellow	SET	191	0.039811	0.0040623	0.12877	0.37861	zHGT
428	grey60	SET	111	0.033435	0.0026067	0.16241	0.41845	zHGT
429	lightcyan	SET	157	0.0014121	0.00013076	0.13839	0.49593	zHGT
430	lightgreen	SET	107	-0.067458	-0.0051641	0.17089	0.65348	zHGT
431	lightyellow	SET	102	-0.28957	-0.021646	0.1746	0.95138	zHGT
432	magenta	SET	212	-0.10123	-0.010876	0.12261	0.79548	zHGT
433	midnightblue	SET	166	0.36915	0.035141	0.13974	0.0041292	zHGT
434	orange	SET	79	-0.084097	-0.005536	0.20976	0.65576	zHGT
435	paleturquoise	SET	44	0.11772	0.0057891	0.25706	0.3235	zHGT
436	pink	SET	207	-0.15405	-0.016357	0.12218	0.89631	zHGT
437	purple	SET	204	0.14085	0.014848	0.12399	0.12799	zHGT
438	red	SET	322	0.0057353	0.00075709	0.096503	0.4763	zHGT
439	royalblue	SET	104	0.082872	0.006255	0.17524	0.31815	zHGT
440	saddlebrown	SET	48	0.16679	0.0085657	0.26685	0.26598	zHGT
441	salmon	SET	178	-0.080206	-0.0079036	0.13713	0.72068	zHGT
442	skyblue	SET	55	-0.30388	-0.016702	0.23147	0.90537	zHGT
443	steelblue	SET	48	-0.35503	-0.018233	0.28102	0.89675	zHGT
444	tan	SET	188	-0.068142	-0.006899	0.13401	0.69444	zHGT
445	turquoise	SET	3265	0.11058	0.042471	0.034939	0.0007776	zHGT
446	violet	SET	45	0.055653	0.0027676	0.25586	0.41391	zHGT
447	white	SET	66	-0.09373	-0.0056417	0.21145	0.67121	zHGT
448	yellow	SET	481	0.036911	0.0059285	0.080079	0.32243	zHGT
449	black	SET	269	-0.087619	-0.010523	0.05565	0.9423	zOSTEO
450	blue	SET	1925	-0.0049029	-0.0015014	0.022469	0.58636	zOSTEO
451	brown	SET	693	-0.037528	-0.0071489	0.035054	0.85781	zOSTEO
452	cyan	SET	180	0.13106	0.012907	0.068457	0.02779	zOSTEO
453	darkgreen	SET	85	0.16698	0.01133	0.10138	0.049788	zOSTEO
454	darkgrey	SET	82	-0.20727	-0.013815	0.10881	0.9716	zOSTEO
455	darkorange	SET	67	-0.23691	-0.014279	0.1174	0.97819	zOSTEO
456	darkred	SET	96	0.030832	0.0022226	0.091143	0.36758	zOSTEO
457	darkturquoise	SET	86	-0.0030088	-0.00020535	0.094128	0.51275	zOSTEO
458	green	SET	455	0.0077515	0.0012045	0.044198	0.43039	zOSTEO
459	greenyellow	SET	196	0.12267	0.012601	0.066594	0.032746	zOSTEO
460	grey60	SET	112	0.075877	0.0059055	0.0838	0.18262	zOSTEO
461	lightcyan	SET	160	-0.01544	-0.0014344	0.071466	0.58552	zOSTEO
462	lightgreen	SET	108	0.06907	0.0052794	0.086947	0.21349	zOSTEO
463	lightyellow	SET	102	-0.056338	-0.0041856	0.089534	0.7354	zOSTEO
464	magenta	SET	213	0.085683	0.0091709	0.062835	0.086357	zOSTEO
465	midnightblue	SET	166	-0.030308	-0.0028675	0.071873	0.66337	zOSTEO
466	orange	SET	79	0.030696	0.0020083	0.10569	0.38574	zOSTEO
467	paleturquoise	SET	44	-0.12729	-0.006221	0.14092	0.8168	zOSTEO
468	pink	SET	208	-0.057928	-0.0061279	0.061965	0.82506	zOSTEO
469	purple	SET	204	-0.075338	-0.0078935	0.063849	0.88098	zOSTEO
470	red	SET	324	0.0013749	0.00018094	0.049588	0.48894	zOSTEO
471	royalblue	SET	104	-0.030105	-0.0022584	0.089109	0.63226	zOSTEO
472	saddlebrown	SET	48	-0.043605	-0.0022256	0.13645	0.62535	zOSTEO
473	salmon	SET	179	0.037499	0.0036829	0.0685	0.29205	zOSTEO
474	skyblue	SET	55	0.061987	0.0033861	0.12188	0.30552	zOSTEO
475	steelblue	SET	48	0.16178	0.0082572	0.14082	0.12532	zOSTEO
476	tan	SET	190	0.1173	0.011865	0.068215	0.042772	zOSTEO
477	turquoise	SET	3284	0.0065862	0.0025232	0.017869	0.35622	zOSTEO
478	violet	SET	45	0.07973	0.0039406	0.13238	0.2735	zOSTEO
479	white	SET	67	0.13865	0.0083564	0.10541	0.094201	zOSTEO
480	yellow	SET	483	0.0022408	0.00035847	0.041401	0.47842	zOSTEO
