GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
35	GO:0070848	0.000437048798605019	7.4442850310856	1.03591821698287	6	703	response to growth factor	COL1A1;COL3A1;FMOD;FYN;MTSS2;VCAM1	0.0145474814392814
36	GO:0007229	0.000477525080616956	22.6344537815126	0.154724627003131	3	105	integrin-mediated signaling pathway	COL3A1;FN1;NID1	0.0154532421921876
37	GO:0071560	0.000501845799426908	12.6561264822134	0.378706944188617	4	257	cellular response to transforming growth factor beta stimulus	COL1A1;COL3A1;FMOD;FYN	0.0158013609819554
38	GO:0036119	0.000516644739471568	70.3116883116883	0.0338920611530669	2	23	response to platelet-derived growth factor	FYN;MTSS2	0.0158392400390625
39	GO:0071559	0.000555302617399023	12.31	0.389021919322159	4	264	response to transforming growth factor beta	COL1A1;COL3A1;FMOD;FYN	0.0165878858787144
40	GO:0045785	0.000598551375271517	8.69026646113191	0.711733284214404	5	483	positive regulation of cell adhesion	FN1;FYN;IGFBP2;NID1;VCAM1	0.016995338435095
41	GO:0043200	0.000607242350975898	20.7876447876448	0.167986737889114	3	114	response to amino acid	COL1A1;COL3A1;FYN	0.016995338435095
42	GO:0061448	0.00061270748006351	11.9820224719101	0.399336894455701	4	271	connective tissue development	COL1A1;COL3A1;OGN;SERPINH1	0.016995338435095
43	GO:0015908	0.000655004124715495	20.2368421052632	0.172407441517775	3	117	fatty acid transport	FABP7;SLC22A6;SLC22A8	0.0175249140305447
44	GO:0018149	0.000661885165102117	61.5113636363636	0.0383127647817278	2	26	peptide cross-linking	COL3A1;FN1	0.0175249140305447
45	GO:0032355	0.000688142347081328	19.8854679802956	0.175354577270216	3	119	response to estradiol	ALDH1A2;COL1A1;IGFBP2	0.0178152407633277
46	GO:0001775	0.000768333512841257	5.73748176956733	1.61503039233745	7	1096	cell activation	COL3A1;FN1;FYN;FZD7;IGFBP2;THBD;VCAM1	0.019156596102511
47	GO:0009719	0.000772841216152804	5.14295628036086	2.13519985264321	8	1449	response to endogenous stimulus	ALDH1A2;COL1A1;COL3A1;FMOD;FYN;IGFBP2;MTSS2;VCAM1	0.019156596102511
48	GO:0001101	0.000850497554689309	18.4434285714286	0.188616688156198	3	128	response to acid chemical	COL1A1;COL3A1;FYN	0.0206422844002718
49	GO:0015732	0.000882726114294197	52.711038961039	0.044207036286609	2	30	prostaglandin transport	SLC22A6;SLC22A8	0.020987263737811
50	GO:0007155	0.000913984264334412	5.00169147496617	2.18972186406336	8	1486	cell adhesion	COL1A1;COL3A1;FN1;FYN;FZD7;IGFBP2;NID1;VCAM1	0.0212958333589918
51	GO:0060070	0.000976473426959098	10.5346534653465	0.452385337999632	4	307	canonical Wnt signaling pathway	COL1A1;FZD7;IGFBP2;NID1	0.0223057165177912
52	GO:0060351	0.00100470200550925	49.1909090909091	0.0471541720390495	2	32	cartilage development involved in endochondral bone morphogenesis	COL1A1;SERPINH1	0.02250918916189
53	GO:0030111	0.00113891219534955	10.0930379746835	0.471541720390495	4	320	regulation of Wnt signaling pathway	APCDD1;COL1A1;FZD7;IGFBP2	0.0250345793883439
54	GO:0071604	0.00120199059578572	44.7107438016529	0.0515748756677104	2	35	transforming growth factor beta production	COL3A1;FN1	0.0259318341498215
55	GO:0071711	0.00134300451850458	42.1506493506494	0.054522011420151	2	37	basement membrane organization	COL3A1;NID1	0.0267333428696312
56	GO:0000304	0.00147356787622033	Inf	0.0014735678762203	1	1	response to singlet oxygen	FYN	0.0267333428696312
57	GO:0001715	0.00147356787622033	Inf	0.0014735678762203	1	1	ectodermal cell fate specification	FZD7	0.0267333428696312
58	GO:0042665	0.00147356787622033	Inf	0.0014735678762203	1	1	regulation of ectodermal cell fate specification	FZD7	0.0267333428696312
59	GO:0042666	0.00147356787622033	Inf	0.0014735678762203	1	1	negative regulation of ectodermal cell fate specification	FZD7	0.0267333428696312
60	GO:0060945	0.00147356787622033	Inf	0.0014735678762203	1	1	cardiac neuron differentiation	VCAM1	0.0267333428696312
61	GO:0071306	0.00147356787622033	Inf	0.0014735678762203	1	1	cellular response to vitamin E	COL1A1	0.0267333428696312
62	GO:1903714	0.00147356787622033	Inf	0.0014735678762203	1	1	isoleucine transmembrane transport	SLC6A20	0.0267333428696312
63	GO:1903806	0.00147356787622033	Inf	0.0014735678762203	1	1	L-isoleucine import across plasma membrane	SLC6A20	0.0267333428696312
64	GO:0072337	0.00149155990259745	39.8673218673219	0.0574691471725916	2	39	modified amino acid transport	SLC6A13;SLC6A20	0.0267333428696312
65	GO:1904646	0.00149155990259745	39.8673218673219	0.0574691471725916	2	39	cellular response to amyloid-beta	FYN;VCAM1	0.0267333428696312
66	GO:1901700	0.00151673645266978	4.59173450219161	2.36507644133358	8	1605	response to oxygen-containing compound	ALDH1A2;COL1A1;COL3A1;FYN;FZD7;IGFBP2;THBD;VCAM1	0.0267448459225782
67	GO:0003013	0.00153811560241437	6.97835960459524	0.878246454227298	5	596	circulatory system process	ELN;FYN;SLC22A8;SLC6A13;SLC6A20	0.0267448459225782
68	GO:0042127	0.00159207591913123	4.55376009944065	2.38275925584822	8	1617	regulation of cell population proliferation	ALDH1A2;ELN;FABP7;FN1;FZD7;IGFBP2;OGN;VCAM1	0.0272760065557042
69	GO:0007275	0.00164956316996212	3.6394422310757	6.67820961503039	14	4532	multicellular organism development	ALDH1A2;APCDD1;COL1A1;COL3A1;ELN;FABP7;FN1;FYN;FZD7;NID1;OGN;SERPINH1;SLC22A6;VCAM1	0.0278513201884909
70	GO:0033993	0.00169892500257449	5.65672191528545	1.34242033523669	6	911	response to lipid	ALDH1A2;COL1A1;FZD7;IGFBP2;THBD;VCAM1	0.0282749661142754
71	GO:0050865	0.00176694870532886	6.7528041415013	0.906244243875484	5	615	regulation of cell activation	FN1;FYN;IGFBP2;THBD;VCAM1	0.0289928907282835
72	GO:0050798	0.00189566771139213	35.1103896103896	0.0648369865536931	2	44	activated T cell proliferation	FYN;IGFBP2	0.0306729567190532
73	GO:0015698	0.00195701942088342	13.6862244897959	0.251980106833671	3	171	inorganic anion transport	SLC13A4;SLC22A6;SLC22A8	0.0312318852784819
74	GO:0032964	0.0020702893462412	33.5103305785124	0.0677841223061337	2	46	collagen biosynthetic process	COL1A1;SERPINH1	0.0321584945116133
75	GO:0048483	0.0020702893462412	33.5103305785124	0.0677841223061337	2	46	autonomic nervous system development	FN1;VCAM1	0.0321584945116133
76	GO:0085029	0.00216036056962633	32.7636363636364	0.069257690182354	2	47	extracellular matrix assembly	COL3A1;ELN	0.0331160534686141
77	GO:0042908	0.00225226519285991	32.0494071146245	0.0707312580585743	2	48	xenobiotic transport	SLC22A6;SLC22A8	0.0340764798659974
78	GO:1904645	0.00234599807547767	31.3655705996132	0.0722048259347946	2	49	response to amyloid-beta	FYN;VCAM1	0.0350395866401472
79	GO:0035725	0.00241077745693364	12.6929755327545	0.271136489224535	3	184	sodium ion transmembrane transport	SLC13A4;SLC6A13;SLC6A20	0.035551338447186
80	GO:0089718	0.002441554087099	30.7102272727273	0.0736783938110149	2	50	amino acid import across plasma membrane	SLC6A13;SLC6A20	0.0355551313933791
81	GO:0009887	0.00255437300437233	5.19266055045872	1.45441149382943	6	987	animal organ morphogenesis	ALDH1A2;APCDD1;COL1A1;COL3A1;ELN;SERPINH1	0.0367388216060959
82	GO:0060324	0.00273910974308464	28.8983957219251	0.0780990974396758	2	53	face development	ALDH1A2;COL1A1	0.0381391868036374
83	GO:0098739	0.00284186169640827	11.9575892857143	0.287345735862958	3	195	import across plasma membrane	FYN;SLC6A13;SLC6A20	0.0381391868036374
84	GO:0007166	0.00291516685271425	3.65443507226132	3.93295266163198	10	2669	cell surface receptor signaling pathway	APCDD1;COL1A1;COL3A1;FMOD;FN1;FYN;FZD7;IGFBP2;NID1;TRAF3	0.0381391868036374
85	GO:0001712	0.00294505469747608	707.04347826087	0.0029471357524406	1	2	ectodermal cell fate commitment	FZD7	0.0381391868036374
86	GO:0046208	0.00294505469747608	707.04347826087	0.0029471357524406	1	2	spermine catabolic process	SMOX	0.0381391868036374
