GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
22	GO:0099081	0.00387590840648666	2.27585411100558	7.61920587720833	16	1013	supramolecular polymer	CACNA1D;CMYA5;DNAH1;DPP9;DST;DYNC1H1;FMN1;IGFN1;INF2;MACF1;MTCL1;MYO1B;RASSF3;RYR2;SCN8A;SNTB2	0.0657142652554329
23	GO:0036477	0.00439688186891691	2.38097038437303	6.33304180514256	14	842	somatodendritic compartment	ADCY9;CHRM3;CLSTN2;CNTN2;EPHB6;FAT3;GRM3;HTT;KCNA1;KCNC3;N4BP3;OPRD1;PLK3;PLXDC1	0.0713059537872177
24	GO:0008076	0.00474084637913658	6.30176744186047	0.676928458981984	4	90	voltage-gated potassium channel complex	KCNA1;KCNAB3;KCNC3;KCNH5	0.0729062060345013
25	GO:0014069	0.00507820723376065	3.21499650627665	2.64002099002974	8	351	postsynaptic density	CLSTN2;CSMD2;DCC;GRM3;ITPR1;OPRD1;PCLO;SCN8A	0.0729062060345013
26	GO:0031674	0.00508193393269982	4.79327578373467	1.10564981633724	5	147	I band	CACNA1D;DST;IGFN1;RYR2;SCN8A	0.0729062060345013
27	GO:0120025	0.00562526978449616	1.83297732500822	16.3591044253979	27	2175	plasma membrane bounded cell projection	ADCY9;CHRM3;CLSTN2;CNTN2;DCC;DNAH1;DST;DYNC1H1;EPHB6;FAT3;GRM3;HTT;KCNA1;KCNC3;KCNJ10;MACF1;MYCBP2;MYO1B;N4BP3;OPRD1;PCLO;PLK3;PLXDC1;SCN8A;TENM1;TENM3;VAMP1	0.0777120603561877
28	GO:0042995	0.00587057395402059	1.80896604249284	17.2240685674305	28	2290	cell projection	ADCY9;CHRM3;CLSTN2;CNTN2;DCC;DNAH1;DST;DYNC1H1;EPHB6;FAT3;GRM3;HTT;KCNA1;KCNC3;KCNJ10;KCTD16;MACF1;MYCBP2;MYO1B;N4BP3;OPRD1;PCLO;PLK3;PLXDC1;SCN8A;TENM1;TENM3;VAMP1	0.0780251179610971
29	GO:0030017	0.00626951576637341	3.84953624184129	1.64719258352283	6	219	sarcomere	CACNA1D;CMYA5;DST;IGFN1;RYR2;SCN8A	0.0780251179610971
30	GO:0099634	0.00634002923984521	4.53548387096774	1.16582123491342	5	155	postsynaptic specialization membrane	CLSTN2;CSMD2;DCC;OPRD1;SCN8A	0.0780251179610971
31	GO:0032279	0.00659314773225395	3.06876309307304	2.76036382718209	8	367	asymmetric synapse	CLSTN2;CSMD2;DCC;GRM3;ITPR1;OPRD1;PCLO;SCN8A	0.0780251179610971
32	GO:0030684	0.00686977969132572	5.642	0.752142732202204	4	100	preribosome	MDN1;PRKDC;UTP14A;UTP14C	0.0780251179610971
33	GO:0098831	0.00709045447279129	17.8551181102362	0.127864264474375	2	17	presynaptic active zone cytoplasmic component	PCLO;RIMS3	0.0780251179610971
34	GO:0034705	0.00711220914390697	5.58350515463917	0.759664159524226	4	101	potassium channel complex	KCNA1;KCNAB3;KCNC3;KCNH5	0.0780251179610971
35	GO:0008074	0.00752142732202155	Inf	0.00752142732202204	1	1	guanylate cyclase complex, soluble	GUCY1A2	0.080156925460401
36	GO:0032588	0.00813834541768152	5.36110891089109	0.789749868812314	4	105	trans-Golgi network membrane	COG7;MYO1B;SLC9A8;VPS13B	0.0843223011332002
37	GO:0099572	0.00881237675035835	2.91118982028073	2.90327094630051	8	386	postsynaptic specialization	CLSTN2;CSMD2;DCC;GRM3;ITPR1;OPRD1;PCLO;SCN8A	0.0888382845373964
38	GO:0045202	0.0093964146879492	1.87549510110486	12.1847122616757	21	1620	synapse	CACNA1G;CHRM3;CLSTN2;CNTN2;CSMD2;DCC;GRM3;HAPLN4;HTT;ITPR1;KCNA1;KCNC3;KCNJ10;KCTD16;NR4A1;OPRD1;PCLO;RIMS3;SCN8A;SNTB2;VAMP1	0.0910226315317492
39	GO:0030016	0.00962678496753888	3.49968730456535	1.80514255728529	6	240	myofibril	CACNA1D;CMYA5;DST;IGFN1;RYR2;SCN8A	0.0910226315317492
40	GO:0033268	0.00976114011064335	14.8766404199475	0.150428546440441	2	20	node of Ranvier	CNTN2;SCN8A	0.0910226315317492
41	GO:0097449	0.010735922561537	14.0928305014505	0.157949973762463	2	21	astrocyte projection	GRM3;KCNJ10	0.0976707101330077
42	GO:0098984	0.0110805982566269	2.79028401224986	3.02361378345286	8	402	neuron to neuron synapse	CLSTN2;CSMD2;DCC;GRM3;ITPR1;OPRD1;PCLO;SCN8A	0.0984062654695677
43	GO:0043292	0.0113993383845529	3.3682625715146	1.87283540318349	6	249	contractile muscle fiber	CACNA1D;CMYA5;DST;IGFN1;RYR2;SCN8A	0.0988826329636796
44	GO:0034704	0.0134793543360642	6.4092970521542	0.496414203253455	3	66	calcium channel complex	CACNA1D;CACNA1G;RYR2	0.112690859116445
45	GO:0099080	0.0135954119577481	1.88859885145175	10.2592268672381	18	1364	supramolecular complex	CACNA1D;CMYA5;DNAH1;DPP9;DST;DYNC1H1;DYRK3;FMN1;IGFN1;INF2;MACF1;MTCL1;MYO1B;PLK3;RASSF3;RYR2;SCN8A;SNTB2	0.112690859116445
46	GO:0005607	0.014986718043623	132.9765625	0.0150428546440441	1	2	laminin-2 complex	LAMC2	0.116459288130653
47	GO:0031673	0.014986718043623	132.9765625	0.0150428546440441	1	2	H zone	DST	0.116459288130653
48	GO:0048788	0.014986718043623	132.9765625	0.0150428546440441	1	2	cytoskeleton of presynaptic active zone	PCLO	0.116459288130653
49	GO:0032040	0.0157797150967342	6.02523098791756	0.526499912541543	3	70	small-subunit processome	PRKDC;UTP14A;UTP14C	0.120119055736364
50	GO:0044304	0.0176410464200146	5.76598639455782	0.549064194507609	3	73	main axon	CNTN2;KCNA1;SCN8A	0.131602206293309
51	GO:0016529	0.0189470889744872	5.60515873015873	0.564107049151653	3	75	sarcoplasmic reticulum	CMYA5;ITPR1;RYR2	0.13857380759772
52	GO:0005874	0.0197654312803699	2.49748677497694	3.36207801294385	8	447	microtubule	DNAH1;DPP9;DST;DYNC1H1;MACF1;MTCL1;RASSF3;SNTB2	0.139120803657596
53	GO:0048471	0.019767835372259	2.14801781097386	5.40790624453385	11	719	perinuclear region of cytoplasm	CMYA5;HTT;INF2;ITPR1;LAMC2;MYO1B;NELL1;PDE8B;PLVAP;TENM1;TF	0.139120803657596
54	GO:0032937	0.0223962878944814	66.484375	0.0225642819660661	1	3	SREBP-SCAP-Insig complex	INSIG1	0.151887552448029
55	GO:0098592	0.0223962878944814	66.484375	0.0225642819660661	1	3	cytoplasmic side of apical plasma membrane	FRMD6	0.151887552448029
56	GO:0005938	0.0274520776789312	2.73760026190866	2.2865139058947	6	304	cell cortex	DST;DYNC1H1;KCNC3;LAMC2;PCLO;RIMS3	0.178983144870854
57	GO:0048786	0.0278825673338342	4.80102040816327	0.654364177015917	3	87	presynaptic active zone	PCLO;RIMS3;SCN8A	0.178983144870854
58	GO:0099738	0.0284115530397141	8.10737294201861	0.263249956270771	2	35	cell cortex region	PCLO;RIMS3	0.178983144870854
59	GO:0099513	0.0284895539631827	2.02250847457627	5.72380619205877	11	761	polymeric cytoskeletal fiber	DNAH1;DPP9;DST;DYNC1H1;FMN1;INF2;MACF1;MTCL1;MYO1B;RASSF3;SNTB2	0.178983144870854
60	GO:0036156	0.029750549549579	44.3203125	0.0300857092880882	1	4	inner dynein arm	DNAH1	0.178983144870854
61	GO:0097444	0.029750549549579	44.3203125	0.0300857092880882	1	4	spine apparatus	OPRD1	0.178983144870854
62	GO:0099569	0.029750549549579	44.3203125	0.0300857092880882	1	4	presynaptic cytoskeleton	PCLO	0.178983144870854
