Gene	ModuleColor	kWithin	ModuleName
IFI35	black	5.07732116485798	AdhdM1
IFNAR1	black	6.9432907589149	AdhdM1
KCTD14	black	13.7347119930897	AdhdM1
KCTD15	black	10.5480884158964	AdhdM1
KDELR1	black	5.88182300536975	AdhdM1
KDM1A	black	4.72197950599894	AdhdM1
LAMC3	black	16.1171409648967	AdhdM1
LAMTOR3	black	24.5379812862984	AdhdM1
LBHD1	black	2.42126841436096	AdhdM1
LDHD	black	3.38304576992264	AdhdM1
LHFPL2	black	27.0664029384086	AdhdM1
LLPH	black	1.27434671333161	AdhdM1
LSM3	black	16.265457683419	AdhdM1
LSR	black	20.6821909233356	AdhdM1
LYPD2	black	5.80691582041763	AdhdM1
MAF1	black	13.6509465233585	AdhdM1
MANF	black	11.484207946338	AdhdM1
MDH2	black	24.6295287851729	AdhdM1
MED29	black	5.10363250666887	AdhdM1
MGAT2	black	12.7817884157422	AdhdM1
MIGA2	black	20.2853433424589	AdhdM1
MKKS	black	5.62940080320515	AdhdM1
MOB4	black	8.21911530269345	AdhdM1
HSPE1-MOB4	black	8.21911530269345	AdhdM1
MRPL12	black	26.7395200779544	AdhdM1
MRPL34	black	5.5563178377364	AdhdM1
MRPL49	black	30.8371472010125	AdhdM1
MRPS12	black	17.5924342291162	AdhdM1
MRPS18A	black	17.1175023975041	AdhdM1
MRPS18C	black	4.67730565140275	AdhdM1
MRPS26	black	8.4708966168851	AdhdM1
MRPS7	black	15.7089116291579	AdhdM1
MTLN	black	6.56709603421976	AdhdM1
MTMR14	black	6.67268677763203	AdhdM1
MVB12B	black	16.8577907224013	AdhdM1
MYORG	black	15.7766628546805	AdhdM1
NAA20	black	13.9901605724716	AdhdM1
NDNF	black	14.0741345825292	AdhdM1
NDUFA8	black	12.8005103318307	AdhdM1
NDUFB6	black	27.6421230204059	AdhdM1
NDUFB8	black	16.432470321683	AdhdM1
NDUFB9	black	26.732775393067	AdhdM1
NFIA	black	8.73680329972713	AdhdM1
NOS3	black	29.3121393233185	AdhdM1
NT5C	black	6.42091375683764	AdhdM1
NUDT6	black	9.83500925242006	AdhdM1
NUP62	black	3.39409077972117	AdhdM1
OTUB1	black	12.7232883859689	AdhdM1
PAQR7	black	18.5636844590163	AdhdM1
PCCB	black	6.87753027219397	AdhdM1
PDCD10	black	5.1785145004483	AdhdM1
PDCL	black	10.7700799695079	AdhdM1
PDHX	black	25.7505362892851	AdhdM1
PEX10	black	7.2077574617666	AdhdM1
PEX19	black	30.218572832821	AdhdM1
PGLYRP1	black	13.8667438679125	AdhdM1
PHF5A	black	4.80307217161997	AdhdM1
PID1	black	23.8548488154796	AdhdM1
PIM2	black	18.3410178190094	AdhdM1
PLA2G3	black	14.9840077538111	AdhdM1
PLAA	black	10.6691607373794	AdhdM1
POMP	black	3.20827629352902	AdhdM1
PON2	black	5.09073987150366	AdhdM1
PPP1R14C	black	18.2355652511228	AdhdM1
PRCC	black	10.9153037489907	AdhdM1
PRPS1	black	4.25387752489057	AdhdM1
PSEN2	black	10.6821379402925	AdhdM1
PSMA4	black	21.4130011147979	AdhdM1
PSMB7	black	27.2452706619428	AdhdM1
PSMC1	black	9.56852517989368	AdhdM1
PSMC2	black	15.7737969027549	AdhdM1
PSMC4	black	26.0774167336905	AdhdM1
PSMD14	black	8.39540882419268	AdhdM1
PTPRB	black	4.98503300957593	AdhdM1
PYGM	black	28.875837429291	AdhdM1
PYM1	black	9.94841671347836	AdhdM1
RAB2A	black	5.56316835218294	AdhdM1
RAB5C	black	12.6922254443257	AdhdM1
RABIF	black	11.5168231660716	AdhdM1
RAC3	black	19.9279524534758	AdhdM1
RALB	black	11.2178696136441	AdhdM1
RAMP2	black	21.9598420903209	AdhdM1
RDH14	black	14.0674770478437	AdhdM1
RETREG3	black	6.30041223886174	AdhdM1
REXO2	black	6.93248563296475	AdhdM1
RGL1	black	15.1333107637266	AdhdM1
RHBDF1	black	7.7177069309139	AdhdM1
RITA1	black	9.34977024452155	AdhdM1
RNASEH2C	black	24.9007733962539	AdhdM1
RNF2	black	5.98232093768848	AdhdM1
RNPS1	black	9.84644285458793	AdhdM1
ROBO4	black	6.87200377693983	AdhdM1
RPA3	black	11.0406545574368	AdhdM1
RPS14	black	13.2430568822567	AdhdM1
RPS6KA2	black	9.07185990327462	AdhdM1
