MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEpaleturquoise	MEpink	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEskyblue	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	Rows	Sample
1	-0.106338142271017	0.269688635448568	-0.268370570883788	-0.313464063866072	0.0478169654165827	-0.236713561622136	0.108826713380873	0.166023243068696	-0.191977918357719	-0.18849988814595	-0.223680019537561	-0.110281703933749	0.0407245766260059	0.0889827347538228	0.448790689227847	-0.272482712110271	0.207275108623629	0.127282000382387	-0.0647421211759592	0.060850895787988	-0.126465239930376	0.376676243723448	-0.0389151894193203	0.116810371151574	-0.181426869591946	-0.343153377090748	-0.00568599215220722	0.264933617989971	0.203859065164028	-0.268368733740711	0.208513661923533	0.15563784465844	-0.202229196039557	ADHD_CT_1	ADHD_CT
2	-0.135420025873572	0.281903470118787	-0.29854069532466	-0.309972783681989	-0.267625792308744	-0.327642198539009	0.0949921687022383	0.205203240987198	-0.284655287944793	-0.307984836867089	-0.191337163399689	-0.10981873735104	0.0211668951392227	0.0825011692264064	0.460346535153438	-0.284941083604056	0.205495118976515	0.105758612858014	0.0640266979539332	0.127749228708621	-0.23409139221984	0.404116709664083	-0.0814459672049243	-0.106532374127759	-0.344353554685499	-0.409513103654702	-0.160819499692953	0.181716019275257	0.213985405369198	-0.299360536247869	0.188327805647513	0.274437959812131	-0.184488981336988	ADHD_CT_2	ADHD_CT
3	-0.110831529519544	0.282666238389578	-0.335253721564006	-0.0695768277215407	-0.438287824967598	-0.488591971322524	-0.10830143059205	0.234054261263243	-0.218444996701159	-0.430458587938195	-0.244812307863935	-0.132353919703924	0.0968835392260874	0.0214099134527188	0.421512377649659	-0.228443833854731	0.209712039813174	0.0912629035512716	0.197060362198307	0.0476087837361711	-0.288097257961952	0.407502169191196	-0.0507974976139633	-0.402663598375002	-0.249538797783214	-0.419982572256051	-0.231233615849267	0.0334394693294641	0.185862365661905	-0.288755064920214	0.209847706899197	0.22845420722868	-0.141119129482722	ADHD_CT_3	ADHD_CT
4	-0.603250086381433	-0.384987016307997	-0.353600930401041	-0.571803268062362	0.436251632349501	-0.0764009887617678	-0.60728449957511	-0.576878340255211	0.551082330771409	0.247463982199702	-0.566799313831387	-0.629163225119564	-0.274253785248516	-0.572148588820828	-0.00529826769748746	0.51890571671733	0.454040050085076	0.649487687417081	-0.740462974298348	0.612559829916735	0.547133819166498	-0.315287612950765	0.450563294234694	0.518388291226192	-0.289768875705452	0.104729663450701	-0.576101031025815	-0.572307517671135	-0.494477281314928	0.189096596058843	-0.665720615896936	-0.61137860115721	-0.494960848109259	ADHD_STR_1	ADHD_STR
5	-0.243329512595319	-0.309489147244334	0.202784378352837	0.30492873540886	0.0268597786977296	-0.111480147026147	-0.333871346906824	0.279453193930067	0.34779502903343	0.225835411453258	-0.0429741479831003	0.263544537409846	0.411517994741259	-0.337942822448406	-0.0468423512124645	0.318000975845612	-0.293402678374455	0.161438879368321	-0.0239092476403923	-0.358381750424507	0.186095367921394	-0.221950089431503	0.342431597492864	-0.152955991303087	0.345436015447093	0.290715713689854	0.0388768760073769	-0.237273720362613	-0.330089432717478	0.361286936995645	-0.145137744860097	-0.253683898363561	0.299261678594192	ADHD_STR_2	ADHD_STR
6	-0.333402416071548	-0.331015304364896	0.023160498030719	-0.0345262306939251	0.292588206602662	0.0598745968807768	-0.275735148279463	0.159868723117851	0.390723245668218	0.252820069733494	-0.242786248178807	0.114200952256413	0.346174524114254	-0.411838475447514	0.0522175938567937	0.362960736126773	-0.00701878901001024	0.350051120543291	-0.186521136233889	0.26700121644033	0.371606165210626	-0.222626951817917	0.437320068151642	0.111628933839011	0.192434562025834	0.16903882707176	-0.108387103362517	-0.329407994776116	-0.368104577241683	0.318190910164882	-0.156337222297261	-0.340797609510202	0.16943046873211	ADHD_STR_3	ADHD_STR
7	0.28169394201514	0.293632096526052	-0.0664078390646886	0.0388930649293266	0.0204021617440717	0.182000789892047	0.158882221396633	-0.296039265423285	-0.28086178381344	-0.0813788861325033	0.157571418948954	-0.154786074944132	-0.322160518657048	0.275377372927104	-0.137653842924272	-0.174642215229429	0.161813885251095	-0.193108771613551	0.152502154835428	-0.117840347274766	-0.190013921401551	0.144870968503269	-0.365831334501782	0.130622908710042	-0.315916280562242	-0.164122462747565	-0.0105702628363105	0.37957202032614	0.247412903646544	-0.276884399708934	-0.0858104960085485	0.0644861594785324	-0.17539488116687	Control_CT_1	Control_CT
8	0.223183680596402	0.298424227995211	-0.162993828799227	0.178815620319536	-0.505297265002378	-0.293152813760862	-0.192347437277788	-0.232961662307904	-0.395152875903603	-0.415225951323167	0.0551202885914136	-0.224482223609547	-0.407481779404113	0.230612866075825	-0.0248502170328165	-0.213141086235812	0.158614623856533	-0.191159102232701	0.384496448465351	-0.26138264767888	-0.410204126112114	0.187545147624952	-0.407997876561987	-0.510839582445719	-0.282641254296982	-0.266218281960445	-0.0981018542360333	-0.123363405696005	0.235057030727505	-0.324437288033738	-0.249729424695932	0.104307927895088	-0.17040784514182	Control_CT_2	Control_CT
9	0.371141911377148	0.280515576793401	0.000826102381939234	-0.14492059459232	-0.128298284684728	0.182649203319005	0.194073643768728	-0.317387017606288	-0.0273665919855896	-0.207059765167563	0.201516898995959	-0.103305185344465	-0.442099695279303	0.41361867483747	-0.166358252605011	-0.164354753825286	0.137343053139273	-0.213003919082038	-0.10699830985503	-0.183514580031623	-0.284145119287943	0.115102864820027	-0.382709461967893	0.0267066115959823	0.262892041185754	0.0855006483410195	0.448749995340103	0.301583892723038	0.246524145482123	-0.250112688126725	-0.176387175763763	0.0104846150631763	-0.20832345310312	Control_CT_3	Control_CT
10	0.135313942040465	-0.273034203276613	0.400364789965547	0.440067881700528	0.173232144578715	0.329818005707079	0.321423151679276	0.288292307782538	-0.0688789984442772	0.333298082441398	0.368622182530298	0.392685539007744	0.370015708681332	-0.0762136584645653	-0.261738467257115	0.189122616220102	-0.431825141027547	-0.244080203307866	0.312154572739494	-0.226509608231554	0.198145518404912	-0.268413581037042	0.134927165487158	-0.023827805735309	0.107321834266756	0.270309611756546	-0.117718064654207	-0.231807247235284	-0.247601033865017	0.334590653616617	0.368628904240745	-0.0646320278683878	0.470986387256951	Control_STR_1	Control_STR
