GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
13	GO:0032501	5.28639621594937e-05	2.06359460235429	53.1673522008718	75	7041	multicellular organismal process	ADCY9;BHLHE40;BHLHE41;CABLES1;CACNA1D;CACNA1G;CA10;CCN4;CDK18;CHRM3;CIART;CLSTN2;CNTN2;CPNE9;CSMD2;CSMD3;DCC;DUSP5;DUSP6;DYNC1H1;DYRK3;EPHB6;KIAA1217;F3;FAT3;FMN1;FOXO6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HTT;IL33;INSIG1;IRF2BP2;ITPR1;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;MACF1;MYCBP2;N4BP3;NAB2;NELL1;NR4A1;NTN5;OPRD1;OVOL2;PCDHGA2;PCLO;PDE8B;PLVAP;PLXDC1;PRKDC;PRKG1;RPE65;RYR2;SCN8A;SGK1;SIK1;SLIT2;SOCS5;STK40;SUN2;TENM1;TENM3;TF;TRIB1;TSC22D3;UNC5D;VPS13B	0.0106958977312401
14	GO:0030154	5.90897646151085e-05	2.10011456297594	31.9562895205353	52	4232	cell differentiation	BHLHE40;BHLHE41;CCN4;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DUSP6;DYRK3;EPHB6;FAT3;FOXO6;FRMD6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;IL33;INSIG1;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;MACF1;MYCBP2;NAB2;NELL1;NR4A1;NTN5;OVOL2;PRKDC;PRKG1;SGK1;SIK1;SLC9A8;SLIT2;SMYD3;SOCS5;SUN2;TENM1;TENM3;TF;TRIB1;UNC5D;UTP14C;VPS13B	0.0106958977312401
15	GO:0048869	5.94877515641831e-05	2.09943709133538	31.9638406286451	52	4233	cellular developmental process	BHLHE40;BHLHE41;CCN4;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DUSP6;DYRK3;EPHB6;FAT3;FOXO6;FRMD6;GPLD1;HAPLN4;HECW2;HERC1;HERC2;HERC6;IL33;INSIG1;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;MACF1;MYCBP2;NAB2;NELL1;NR4A1;NTN5;OVOL2;PRKDC;PRKG1;SGK1;SIK1;SLC9A8;SLIT2;SMYD3;SOCS5;SUN2;TENM1;TENM3;TF;TRIB1;UNC5D;UTP14C;VPS13B	0.0106958977312401
16	GO:0086070	6.6328392285279e-05	50.49375	0.0830621892074406	3	11	SA node cell to atrial cardiac muscle cell communication	CACNA1D;CACNA1G;RYR2	0.0111804796245873
17	GO:0030048	7.34316250435714e-05	7.56101831896552	1.01939959481859	7	135	actin filament-based movement	CACNA1D;CACNA1G;FRMD6;MYO1B;RYR2;SCN8A;SUN2	0.0116497113377948
18	GO:0032922	0.000120824183166265	11.5677966101695	0.483270919025109	5	64	circadian regulation of gene expression	BHLHE40;BHLHE41;CIART;KMT2A;MYCBP2	0.0181034901110788
19	GO:0071805	0.000187299215631439	5.52541639627947	1.57818159494137	8	209	potassium ion transmembrane transport	CACNA1D;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;SLC9A8	0.0265866307662101
20	GO:0032436	0.000225496591045451	10.0311565304088	0.551230892013015	5	73	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	IL33;PLK3;SOCS5;TF;TRIB1	0.0304082153024791
21	GO:0030001	0.000251336786843715	2.9151391033819	6.4939529743999	17	860	metal ion transport	CACNA1D;CACNA1G;HTT;ITPR1;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;OPRD1;RYR2;SCN8A;SGK1;SIK1;SLC9A8;TF	0.0322788244817857
22	GO:0048666	0.00033441860330438	2.60852981969487	8.60826324513475	20	1140	neuron development	CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FOXO6;HECW2;HERC1;KCNA1;LGI4;MACF1;MYCBP2;PRKG1;SGK1;SLIT2;TENM1;TENM3;UNC5D;VPS13B	0.040996680595996
23	GO:0065008	0.000447211473134067	2.03263554911391	21.6037203020443	37	2861	regulation of biological quality	CACNA1D;CACNA1G;CHRM3;CLSTN2;CNTN2;COG7;DCC;F3;FMN1;GPLD1;HTT;ITPR1;KCNA1;KCNC3;KCNH5;KCNH7;KCNJ10;KCTD16;KMT2A;MACF1;MYCBP2;OPRD1;PCLO;PDE8B;PLVAP;PRKDC;PRKG1;RIMS3;RPE65;RYR2;SCN8A;SGK1;SLC9A8;SLIT2;TENM1;TF;XKR7	0.0504872608025999
24	GO:0006813	0.000449274845851835	4.81996219281663	1.79716373012462	8	238	potassium ion transport	CACNA1D;KCNA1;KCNAB3;KCNC3;KCNH5;KCNH7;KCNJ10;SLC9A8	0.0504872608025999
25	GO:0031175	0.000494199589034374	2.65644314868805	7.53600589354779	18	998	neuron projection development	CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FOXO6;HECW2;HERC1;KCNA1;MACF1;MYCBP2;PRKG1;SGK1;SLIT2;TENM3;UNC5D;VPS13B	0.0533142516650282
26	GO:0045862	0.000536749676910087	4.2038149063935	2.31819018969857	9	307	positive regulation of proteolysis	ACER2;CNTN2;F3;GPLD1;IL33;PLK3;SOCS5;TF;TRIB1	0.055661472568465
27	GO:0086046	0.000557233874434022	89.0523415977961	0.0377555405488366	2	5	membrane depolarization during SA node cell action potential	CACNA1D;CACNA1G	0.055661472568465
28	GO:0014912	0.000666317508079676	20.1825	0.173675486524649	3	23	negative regulation of smooth muscle cell migration	PRKG1;SLIT2;TRIB1	0.0641806542603888
