GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
11	GO:0048468	1.53809746522794e-06	2.11007450929063	36.8876066539807	65	2744	cell development	DYNLL1;BHLHE40;BHLHE41;CBFB;CCN4;CLDN5;CNTN2;CPNE9;CSMD3;DCC;DNAH1;DYRK3;EGR3;EPHB6;EZR;FAT3;FLRT3;FOXO6;FRMD6;GDF11;HAPLN4;HECW2;HERC1;HERC6;HEYL;HOMER1;IL33;INHBA;IRF2BP2;JUNB;KCNA1;KCNJ10;KLF10;KMT2A;LGI4;LHX2;MACF1;MATN2;MFSD2A;MYCBP2;MYORG;NDNF;NRARP;OVOL2;PLA2G3;PRKDC;PRKG1;RND1;SGK1;SIRT2;SLC9A8;SLIT2;SMYD3;SOCS5;SOX4;SOX9;TENM1;TENM3;TF;TRIB1;TUBB3;UNC5D;VCAM1;VPS13B;ZFP36L2	0.000550499065509309
12	GO:0007417	2.09939386902353e-06	2.72633204125879	13.6446504204776	33	1015	central nervous system development	ADGRG1;DYNLL1;CA10;CBS;CNTN2;DCC;GDF11;GRIN2C;HAPLN4;HERC1;ID3;IL33;INHBA;KCNA1;KCNJ10;LHX2;MARCKSL1;MDGA1;MFSD2A;MYCBP2;NDNF;PLXDC1;PRKDC;PRKG1;SIRT2;SLIT2;SOX2;SOX21;SOX4;SOX9;SUN2;TUBB2A;VPS13B	0.000688776138528804
13	GO:0048699	2.62941495596402e-06	2.40927322127995	19.9359769197717	42	1483	generation of neurons	ADGRG1;CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FLRT3;FOXO6;GDF11;HAPLN4;HECW2;HERC1;HERC2;HEYL;ID3;INHBA;KCNA1;LGI4;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;NDNF;PLA2G3;PRKG1;PROM1;RND1;SGK1;SLIT2;SOX2;SOX21;SOX4;SOX9;TENM1;TENM3;TUBB3;UNC5D;VCAM1;VPS13B	0.000796308206279258
14	GO:0007623	3.35548135856067e-06	5.3318529229498	2.70204407341477	13	201	circadian rhythm	BHLHE40;BHLHE41;CIART;EGR3;HOMER1;KCNH7;KLF10;KMT2A;MYCBP2;PRKDC;PRKG1;RPE65;SIK1	0.00094360929347524
15	GO:0050793	3.912947570995e-06	2.12080357576641	31.5104045178319	57	2344	regulation of developmental process	APCDD1;BHLHE40;BHLHE41;BTG1;CBFB;CCN4;CDK18;CLDN5;CLSTN2;CNTN2;CPNE9;CSMD3;DCC;DUSP6;EGR3;EZR;F3;FAT3;FGFR3;FLRT3;FOXO6;GDF11;HAPLN4;HECW2;HEYL;ID3;IL33;INF2;INHBA;INSIG1;JUNB;KLF10;LGI4;LHX2;MACF1;MFSD2A;MYCBP2;NAB2;NELL1;NPNT;NRARP;OVOL2;PARVB;PLA2G3;PRKDC;PROM1;SIK1;SIRT2;SLIT2;SOCS5;SOX2;SOX4;SOX9;TMEM100;TRIB1;WWC1;ZFP36L2	0.00101739339020006
16	GO:0030182	4.13469500716307e-06	2.40960697259129	18.8739794978823	40	1404	neuron differentiation	CNTN2;CPNE9;CSMD3;DCC;EPHB6;FAT3;FLRT3;FOXO6;GDF11;HECW2;HERC1;HERC2;HEYL;ID3;INHBA;KCNA1;LGI4;LHX2;MACF1;MATN2;MDGA1;MFSD2A;MYCBP2;NDNF;PLA2G3;PRKG1;PROM1;RND1;SGK1;SLIT2;SOX2;SOX21;SOX4;SOX9;TENM1;TENM3;TUBB3;UNC5D;VCAM1;VPS13B	0.00101739339020006
17	GO:0065008	6.53331565816794e-06	2.00411534102521	38.4604382788042	65	2861	regulation of biological quality	ABHD17B;AQP4;DYNLL1;CACNA1D;CACNA1G;CBS;CHRDL1;CHRM3;CLDN5;CLSTN2;CNTN2;COG7;CRYM;DCC;DIO2;EZR;F3;FLRT3;FMN1;GLRX;GPLD1;GRIN2C;HOMER1;HTT;INHBA;ITPR1;KCNA1;KCNC3;KCNH5;KCNH7;KCNJ10;KCNJ2;KCTD16;KMT2A;MACF1;MDGA1;MFSD2A;MYCBP2;NTSR2;OPRD1;PARVB;PCLO;PDE8B;PLA2G3;PLVAP;PRKDC;PRKG1;RIMS3;RPE65;RYR2;SCN8A;SGK1;SLC16A1;SLC9A8;SLCO1C1;SLIT2;SOX4;TENM1;TLCD1;TNNC1;TF;TUBB;XKR7;ZNF207;ZFP36L2	0.00151303904389454
18	GO:0048511	1.04140322292073e-05	4.17742276766822	3.93880056472899	15	293	rhythmic process	BHLHE40;BHLHE41;CIART;EGR3;HOMER1;INHBA;KCNH7;KLF10;KMT2A;MYCBP2;PRKDC;PRKG1;RPE65;SIK1;SLIT2	0.00227778027146607
19	GO:0072359	1.30975223492557e-05	2.47759356040127	14.8814069117918	33	1107	circulatory system development	ADGRG1;APC;BTG1;CACNA1G;CLDN5;DUSP6;EGR3;F3;FLRT3;GPLD1;HEXIM1;HEYL;ID3;INHBA;JUNB;NDNF;NR4A1;NRARP;OVOL2;PLXDC1;PRKDC;PRKG1;RYR2;SAT1;SIK1;SLC31A1;SLIT2;SOX4;SOX9;TGFA;TMEM100;TNNC1;VCAM1	0.00264880439459583
20	GO:0060322	1.34559532364533e-05	2.79114969892172	10.2973420907249	26	766	head development	ADGRG1;DYNLL1;CA10;CBS;CLDN5;CNTN2;FLRT3;GRIN2C;HERC1;INHBA;KCNA1;LHX2;MDGA1;MFSD2A;NDNF;PRKDC;PRKG1;SIRT2;SLIT2;SOX2;SOX21;SOX4;SOX9;SUN2;TUBB2A;VPS13B	0.00264880439459583
