VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	Sample
74	CTX_Downreg	SET	155	0.051689	0.0047265	0.068866	0.22646	zDIAB
75	CTX_Upreg	SET	191	-0.041967	-0.0042557	0.064405	0.74267	zDIAB
76	STR_All	SET	467	0.0040608	0.000639	0.040865	0.46042	zDIAB
77	STR_Downreg	SET	164	0.073888	0.0069481	0.068416	0.14009	zDIAB
78	STR_Upreg	SET	303	-0.033407	-0.0042537	0.050019	0.74789	zDIAB
79	CTX_All	SET	344	0.0037175	0.0005069	0.09636	0.48461	zHGT
80	CTX_Downreg	SET	154	0.12443	0.011413	0.14035	0.18765	zHGT
81	CTX_Upreg	SET	190	-0.10158	-0.010339	0.13103	0.78091	zHGT
82	STR_All	SET	461	0.16749	0.026352	0.084627	0.023909	zHGT
83	STR_Downreg	SET	161	0.12926	0.01212	0.14155	0.18059	zHGT
84	STR_Upreg	SET	300	0.18324	0.023362	0.10402	0.039089	zHGT
85	CTX_All	SET	346	0.014771	0.0020076	0.049575	0.38288	zOSTEO
86	CTX_Downreg	SET	155	0.082766	0.0075691	0.071648	0.12402	zOSTEO
87	CTX_Upreg	SET	191	-0.046714	-0.0047376	0.067968	0.75404	zOSTEO
88	STR_All	SET	467	-0.073398	-0.011551	0.042568	0.95766	zOSTEO
89	STR_Downreg	SET	164	-0.06115	-0.0057509	0.070378	0.80754	zOSTEO
90	STR_Upreg	SET	303	-0.07808	-0.0099429	0.052659	0.93092	zOSTEO
