GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
11	GO:0005930	0.00050774864202059	2.06741167199335	25.7869900943764	41	93	axoneme	Akap14;Arl13b;Bbs7;Ccdc114;Ccdc151;Ccdc39;Ccdc40;Cep162;Cfap43;Cfap70;Dnah1;Dnah12;Dnah2;Dnah6;Dnah7b;Dnaic1;Dnaic2;Dnali1;Dync2h1;Efcab1;Efhc2;Gli3;Inpp5e;Lca5;Lca5l;Mns1;Pik3r4;Rsph4a;Saxo2;Septin2;Spag6l;Tctex1d4;Tmem67;Ttc30a1;Ttc30b;Ttll3;Ttll8;Tulp3;Wdr11;Wdr63;Wdr78	0.00276953804738504
12	GO:0097729	0.00106715485640192	1.97815292949355	25.7869900943764	40	93	9+2 motile cilium	Ace;Akap14;Akap9;Atp1b3;Ccdc181;Ccdc39;Ccr6;Cfap43;Cfap65;Cfap70;Dnah1;Dnah2;Dnaic1;Dnaic2;Dnali1;Drd2;Efcab1;Efcab2;Enkur;Eno4;Ift27;Iqcg;Mns1;Odf4;Rpgr;Rsph1;Saxo2;Septin2;Septin4;Spa17;Spag6l;Spata18;Spata6;Tacr1;Tacr3;Tctex1d4;Tekt3;Tekt4;Ttc29;Wbp2nl	0.00533577428200958
13	GO:0022627	0.00139564871762143	2.6164732521936	12.2002963887372	22	44	cytosolic small ribosomal subunit	Dhx29;Fau;Larp4;Rps11;Rps12;Rps13;Rps15;Rps17;Rps19;Rps21;Rps23;Rps25;Rps26;Rps27;Rps27a;Rps27l;Rps3a1;Rps4x;Rps5;Rps8;Rps9;Rpsa	0.0064414556197912
14	GO:0036126	0.00248758930954222	1.95034453578337	22.7369159971921	35	82	sperm flagellum	Ace;Akap14;Atp1b3;Ccdc181;Ccr6;Cfap65;Cfap70;Dnah1;Dnah2;Dnaic2;Dnali1;Drd2;Efcab2;Enkur;Eno4;Ift27;Iqcg;Mns1;Odf4;Rpgr;Rsph1;Saxo2;Septin2;Septin4;Spa17;Spag6l;Spata18;Spata6;Tacr1;Tacr3;Tctex1d4;Tekt3;Tekt4;Ttc29;Wbp2nl	0.0106610970408952
15	GO:0033270	0.0038020700832977	4.35354960037612	4.43647141408626	10	16	paranode region of axon	Ank3;Cntnap2;Epb41l3;Ermn;Gjc2;Kif13b;Mag;Ncmap;Nfasc;Sirt2	0.0152082803331908
16	GO:0016607	0.00427371762920557	1.41492178634209	77.6382497465096	98	280	nuclear speck	Adamts4;Arhgap18;Bclaf1;Bmp2k;Brd1;Carmil1;Ccnl1;Cdk12;Cdk13;Cnot7;Cpsf6;Cwc15;Ddx17;Dennd1b;Dgkq;Dhx15;Dhx36;Dock1;Dusp11;Ell;Epas1;Erbin;Fibp;Foxo4;Fto;Gli3;Grk5;H2ax;Haus6;Hbp1;Hdac5;Hexim2;Hif1a;Hipk1;Hp1bp3;Kat6a;Kazn;Luc7l2;Mbd1;Ncbp3;Nrde2;Nsrp1;Ogg1;Osgep;Pacsin2;Parn;Plrg1;Pnn;Poldip3;Ppig;Ppp1r16b;Ppp1r8;Ppp4r3a;Ppp4r3b;Prkaa1;Prkn;Prpf3;Prpf4;Prpf40a;Prpf6;Rbbp6;Rbm14;Rbm4;Rbm4b;Rreb1;Rufy1;S100pbp;Sap130;Sart1;Scnm1;Sdcbp2;Sde2;Sf3a1;Sf3a3;Sf3b1;Sf3b2;Sfmbt2;Smc5;Smurf2;Son;Sprtn;Srek1;Srsf2;Srsf3;Srsf7;Taf5l;Tcf12;Thrap3;Tmem179b;Topors;Trip11;Trip12;U2af1;Virma;Vps72;Wrn;Ythdc1;Zcchc12	0.0160264411095209
17	GO:0032045	0.00464967251550988	4.7010152284264	3.88191248732548	9	14	guanyl-nucleotide exchange factor complex	C9orf72;Dock1;Elmo1;Kndc1;Pde3b;Rap1a;Ric1;Smcr8;Wdr41	0.0164106088782702
18	GO:0000786	0.00549298422103417	3.59191591422122	5.26830980422744	11	19	nucleosome	H2aw;H2ax;H2bc21;H3c14;H3f3b;Hp1bp3;Kat6a;Macroh2a1;Shprh;Sos2;Tcf3	0.0168683579643132
19	GO:0055037	0.00588934056627434	1.61761856959194	36.3236097028313	50	131	recycling endosome	Aatk;Abcg1;Agtr1a;Akap5;Ap1g1;Atp11a;Atp11c;Avl9;Bace1;Baiap3;Cd274;Cftr;Cmtm6;Commd1;Dennd6a;Ehd1;Ehd4;Fchsd1;Fchsd2;Gpr161;Gria1;Gripap1;Inpp5f;Ldlr;Ldlrap1;Mctp1;Micall2;Myo5b;Ndrg1;Nsg1;Ntrk1;Pacsin2;Pdlim4;Plekhj1;Rab13;Rab14;Rab25;Relch;Scamp1;Scamp2;Sh3tc2;Slc11a2;Slc31a2;Sorcs2;St8sia2;Syt11;Tbc1d12;Tpp1;Trf;Vamp3	0.0168683579643132
20	GO:0016035	0.0059039252875096	Inf	1.10911785352157	4	4	zeta DNA polymerase complex	Mad2l2;Pold2;Pold3;Rev3l	0.0168683579643132
