GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
114	GO:0043014	0.055286676363641	18.7826086956522	0.0567677842824197	1	40	alpha-tubulin binding	FYN	0.107982051869726
115	GO:0035091	0.0553049929799952	5.658835546476	0.381763349299273	2	269	phosphatidylinositol binding	FZD7;MTSS2	0.107982051869726
116	GO:0015175	0.0566305872027897	18.3119565217391	0.0581869788894802	1	41	neutral L-amino acid transmembrane transporter activity	SLC6A20	0.107982051869726
117	GO:0016620	0.0566305872027897	18.3119565217391	0.0581869788894802	1	41	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	ALDH1A2	0.107982051869726
118	GO:0030547	0.0566305872027897	18.3119565217391	0.0581869788894802	1	41	signaling receptor inhibitor activity	IGFBP2	0.107982051869726
119	GO:0019899	0.0581072488143879	2.46577158959058	2.86251552244101	6	2017	enzyme binding	COL1A1;COL3A1;FN1;FYN;MTSS2;TRAF3	0.109495148352046
120	GO:0019212	0.05931291453988	17.4378881987578	0.0610253681036012	1	43	phosphatase inhibitor activity	IGFBP2	0.109495148352046
121	GO:0048156	0.05931291453988	17.4378881987578	0.0610253681036012	1	43	tau protein binding	FYN	0.109495148352046
122	GO:0001664	0.0593707026619982	5.43132766514062	0.397374489976938	2	280	G protein-coupled receptor binding	FYN;FZD7	0.109495148352046
123	GO:0004715	0.0619879320041732	16.6432806324111	0.0638637573177222	1	45	non-membrane spanning protein tyrosine kinase activity	FYN	0.112478102426927
124	GO:0035254	0.0619879320041732	16.6432806324111	0.0638637573177222	1	45	glutamate receptor binding	FYN	0.112478102426927
125	GO:0005504	0.0633227054911822	16.2724637681159	0.0652829519247827	1	46	fatty acid binding	FABP7	0.113980869884128
126	GO:0016903	0.0646556586526533	15.9177693761815	0.0667021465318432	1	47	oxidoreductase activity, acting on the aldehyde or oxo group of donors	ALDH1A2	0.114547426746827
127	GO:0032813	0.0646556586526533	15.9177693761815	0.0667021465318432	1	47	tumor necrosis factor receptor superfamily binding	TRAF3	0.114547426746827
128	GO:0042802	0.0692528630692973	2.34586704743773	2.99024303707646	6	2107	identical protein binding	APCDD1;COL1A1;FN1;FYN;SLC22A6;TRAF3	0.121733548363999
129	GO:0098772	0.0714953750796805	2.32436260623229	3.01436934539649	6	2124	molecular function regulator activity	FN1;FYN;IGFBP2;MTSS2;OGN;SERPINH1	0.123665140219745
130	GO:0140677	0.0718385377238577	2.80747996438112	1.59943232215718	4	1127	molecular function activator activity	FN1;FYN;MTSS2;OGN	0.123665140219745
