GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
41	GO:0005546	0.00556379461541736	19.8465171192444	0.112116373957779	2	79	phosphatidylinositol-4,5-bisphosphate binding	FZD7;MTSS2	0.028969806653885
42	GO:0005308	0.00566520663453751	244.695652173913	0.00567677842824197	1	4	creatine transmembrane transporter activity	SLC6A13	0.028969806653885
43	GO:0015199	0.00566520663453751	244.695652173913	0.00567677842824197	1	4	amino-acid betaine transmembrane transporter activity	SLC6A20	0.028969806653885
44	GO:0016647	0.00566520663453751	244.695652173913	0.00567677842824197	1	4	oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor	SMOX	0.028969806653885
45	GO:0022853	0.00655315259494197	8.79206349206349	0.387440127727515	3	273	active monoatomic ion transmembrane transporter activity	SLC13A4;SLC6A13;SLC6A20	0.0327657629747098
46	GO:0004028	0.00707669507369146	183.510869565217	0.00709597303530247	1	5	3-chloroallyl aldehyde dehydrogenase activity	ALDH1A2	0.0331720081579287
47	GO:0005298	0.00707669507369146	183.510869565217	0.00709597303530247	1	5	proline:sodium symporter activity	SLC6A20	0.0331720081579287
48	GO:0005368	0.00707669507369146	183.510869565217	0.00709597303530247	1	5	taurine transmembrane transporter activity	SLC6A13	0.0331720081579287
49	GO:0015171	0.0081147165952911	16.2408123791103	0.136242682277807	2	96	amino acid transmembrane transporter activity	SLC6A13;SLC6A20	0.0360265892009553
50	GO:0005332	0.00848626323400281	146.8	0.00851516764236296	1	6	gamma-aminobutyric acid:sodium:chloride symporter activity	SLC6A13	0.0360265892009553
51	GO:0015139	0.00848626323400281	146.8	0.00851516764236296	1	6	alpha-ketoglutarate transmembrane transporter activity	SLC22A6	0.0360265892009553
52	GO:0031802	0.00848626323400281	146.8	0.00851516764236296	1	6	type 5 metabotropic glutamate receptor binding	FYN	0.0360265892009553
53	GO:0141069	0.00848626323400281	146.8	0.00851516764236296	1	6	receptor ligand inhibitor activity	IGFBP2	0.0360265892009553
54	GO:1902936	0.00946571819262254	14.9598930481283	0.147596239134291	2	104	phosphatidylinositol bisphosphate binding	FZD7;MTSS2	0.0394404924692606
55	GO:0015193	0.00989391361450487	122.326086956522	0.00993436224942345	1	7	L-proline transmembrane transporter activity	SLC6A20	0.0397523314868499
56	GO:0043237	0.00989391361450487	122.326086956522	0.00993436224942345	1	7	laminin-1 binding	NID1	0.0397523314868499
57	GO:0015185	0.0112996487111244	104.844720496894	0.0113535568564839	1	8	gamma-aminobutyric acid transmembrane transporter activity	SLC6A13	0.0430918806780169
58	GO:0031995	0.0112996487111244	104.844720496894	0.0113535568564839	1	8	insulin-like growth factor II binding	IGFBP2	0.0430918806780169
59	GO:0035256	0.0112996487111244	104.844720496894	0.0113535568564839	1	8	G protein-coupled glutamate receptor binding	FYN	0.0430918806780169
60	GO:0001758	0.0127034710166876	91.7336956521739	0.0127727514635444	1	9	retinal dehydrogenase activity	ALDH1A2	0.0468570652254869
