GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
28	GO:0030170	0.00355383775822596	6.94960876369327	0.628613656517884	4	49	pyridoxal phosphate binding	CBS;DDC;ETNPPL;PYGM	0.0846431568037103
29	GO:0005539	0.00358955836003493	3.12563259109312	3.04043748152527	9	237	glycosaminoglycan binding	ADGRG1;CCN4;HAPLN4;LAMC2;NDNF;NELL1;SLIT2;TENM1;ZNF207	0.0846431568037103
30	GO:0099106	0.00362756386301616	3.77899543378995	1.96281407035176	7	153	ion channel regulator activity	GLRX;GPLD1;GRM3;ITPR1;KCNAB3;PRKG1;SGK1	0.0846431568037103
31	GO:0070279	0.003824640911862	6.7981220657277	0.641442506650902	4	50	vitamin B6 binding	CBS;DDC;ETNPPL;PYGM	0.0846783379315587
32	GO:0005251	0.00388876009949016	10.6261682242991	0.320721253325451	3	25	delayed rectifier potassium channel activity	KCNA1;KCNC3;KCNH5	0.0846783379315587
33	GO:0005198	0.00399197878820205	2.12742124720519	8.9673662429796	18	699	structural molecule activity	CLDN5;DST;H1-2;H1-4;HAPLN4;HOMER1;LAMC2;MACF1;MATN2;NPNT;PCLO;RIMS3;SNTB2;TUBA4A;TUBB2A;TUBB3;TUBB4B;TUBB	0.0846783379315587
34	GO:0098882	0.00435946358929341	25.8790697674419	0.102630801064144	2	8	structural constituent of presynaptic active zone	PCLO;RIMS3	0.0871892717858682
35	GO:0140945	0.00435946358929341	25.8790697674419	0.102630801064144	2	8	histone H3K4 monomethyltransferase activity	KMT2A;KMT2C	0.0871892717858682
36	GO:0016247	0.00479191888348687	3.58095238095238	2.0654448714159	7	161	channel regulator activity	GLRX;GPLD1;GRM3;ITPR1;KCNAB3;PRKG1;SGK1	0.0931762005122447
37	GO:0141108	0.0051226122886852	3.53461538461538	2.09110257168194	7	163	transporter regulator activity	GLRX;GPLD1;GRM3;ITPR1;KCNAB3;PRKG1;SGK1	0.0964002535053572
38	GO:0008081	0.00523315661886225	4.77910722503451	1.11610996157257	5	87	phosphoric diester hydrolase activity	CHRM3;ENPP6;GPLD1;PDE8B;PLCXD2	0.0964002535053572
39	GO:0005242	0.00538490448473058	9.34934579439252	0.359207803724505	3	28	inward rectifier potassium channel activity	KCNH7;KCNJ10;KCNJ2	0.0966521317772156
